id,aggregated_by,aggregate_name,year,start_date,end_date,brand,count,percentage
232,state,tamil-nadu,2020,2020-04-01,2020-06-30,Xiaomi,2891155,0.23793975138727652
233,state,tamil-nadu,2020,2020-04-01,2020-06-30,Samsung,2285005,0.18805408966959009
234,state,tamil-nadu,2020,2020-04-01,2020-06-30,Vivo,2216953,0.18245346432732829
235,state,tamil-nadu,2020,2020-04-01,2020-06-30,Oppo,1270624,0.10457134213375167
236,state,tamil-nadu,2020,2020-04-01,2020-06-30,Realme,512202,0.0421538162222592
237,state,tamil-nadu,2020,2020-04-01,2020-06-30,Motorola,430995,0.035470544868455425
238,state,tamil-nadu,2020,2020-04-01,2020-06-30,Huawei,410511,0.03378472800031208
239,state,tamil-nadu,2020,2020-04-01,2020-06-30,Apple,352063,0.028974504200798203
240,state,tamil-nadu,2020,2020-04-01,2020-06-30,Lenovo,331665,0.02729576506408721
241,state,tamil-nadu,2020,2020-04-01,2020-06-30,OnePlus,305910,0.025176149098502763
242,state,tamil-nadu,2020,2020-04-01,2020-06-30,Others,1143703,0.09412584502763854
243,state,tamil-nadu,2020,2020-07-01,2020-09-30,Xiaomi,3217633,0.23583717931775472
244,state,tamil-nadu,2020,2020-07-01,2020-09-30,Vivo,2577603,0.18892602758642224
245,state,tamil-nadu,2020,2020-07-01,2020-09-30,Samsung,2574986,0.1887342139463102
246,state,tamil-nadu,2020,2020-07-01,2020-09-30,Oppo,1456520,0.10675598131293908
247,state,tamil-nadu,2020,2020-07-01,2020-09-30,Realme,592254,0.04340939839927596
248,state,tamil-nadu,2020,2020-07-01,2020-09-30,Motorola,466225,0.03417207274024732
249,state,tamil-nadu,2020,2020-07-01,2020-09-30,Huawei,452345,0.03315473482478883
250,state,tamil-nadu,2020,2020-07-01,2020-09-30,Apple,378323,0.02772927465345828
251,state,tamil-nadu,2020,2020-07-01,2020-09-30,Lenovo,357461,0.02620018938023818
252,state,tamil-nadu,2020,2020-07-01,2020-09-30,OnePlus,324336,0.023772284592805736
253,state,tamil-nadu,2020,2020-07-01,2020-09-30,Others,1245765,0.09130864324575945
254,state,tamil-nadu,2020,2020-10-01,2020-12-31,Xiaomi,3595631,0.23412735569248969
255,state,tamil-nadu,2020,2020-10-01,2020-12-31,Vivo,2971084,0.1934603524277839
256,state,tamil-nadu,2020,2020-10-01,2020-12-31,Samsung,2918795,0.19005558555882415
257,state,tamil-nadu,2020,2020-10-01,2020-12-31,Oppo,1665487,0.10844718694721944
258,state,tamil-nadu,2020,2020-10-01,2020-12-31,Realme,690401,0.04495504697157483
259,state,tamil-nadu,2020,2020-10-01,2020-12-31,Motorola,503120,0.032760356998814785
260,state,tamil-nadu,2020,2020-10-01,2020-12-31,Huawei,497653,0.0324043765732453
261,state,tamil-nadu,2020,2020-10-01,2020-12-31,Apple,417632,0.02719385715958224
262,state,tamil-nadu,2020,2020-10-01,2020-12-31,Lenovo,385136,0.02507789961260839
263,state,tamil-nadu,2020,2020-10-01,2020-12-31,OnePlus,347722,0.022641709445742318
264,state,tamil-nadu,2020,2020-10-01,2020-12-31,Others,1364925,0.08887627261211495
265,state,tamil-nadu,2018,2018-01-01,2018-03-31,Xiaomi,503469,0.23920562688086114
266,state,tamil-nadu,2018,2018-01-01,2018-03-31,Samsung,408997,0.1943205714302004
267,state,tamil-nadu,2018,2018-01-01,2018-03-31,Vivo,256682,0.12195344444053795
268,state,tamil-nadu,2018,2018-01-01,2018-03-31,Oppo,160460,0.07623693790343194
269,state,tamil-nadu,2018,2018-01-01,2018-03-31,Motorola,100336,0.04767112926261216
270,state,tamil-nadu,2018,2018-01-01,2018-03-31,OnePlus,93643,0.04449118519313896
271,state,tamil-nadu,2018,2018-01-01,2018-03-31,Apple,93282,0.044319668711877966
272,state,tamil-nadu,2018,2018-01-01,2018-03-31,Lenovo,92559,0.043976160634449445
273,state,tamil-nadu,2018,2018-01-01,2018-03-31,Realme,82612,0.0392501926590946
274,state,tamil-nadu,2018,2018-01-01,2018-03-31,Huawei,59799,0.028411396296194234
275,state,tamil-nadu,2018,2018-01-01,2018-03-31,Others,252915,0.12016368658760121
276,state,tamil-nadu,2018,2018-04-01,2018-06-30,Xiaomi,723469,0.24147540283227573
277,state,tamil-nadu,2018,2018-04-01,2018-06-30,Samsung,574902,0.1918875474126479
278,state,tamil-nadu,2018,2018-04-01,2018-06-30,Vivo,390299,0.13027179913726003
279,state,tamil-nadu,2018,2018-04-01,2018-06-30,Oppo,240094,0.08013722131509768
280,state,tamil-nadu,2018,2018-04-01,2018-06-30,Motorola,139685,0.04662327154947404
